250
     0	   0.
   500.	   0.
  1000.	   0.
  1500.	   0.
  2000.	   0.
  2500.	   0.
  3000.	   0.
  3500.	   0.
  4000.	   0.
  4500.	   0.
  5000.	   0.
  5500.	   0.
  6000.	   0.
  6500.	   0.
  7000.	   0.
  7500.	   0.
  8000.	   0.
  8500.	   0.
  9000.	   0.
  9500.	   0.
 10000.	   0.
 10500.	   0.
 11000.	   0.
 11500.	   0.
 12000.	   0.
 12500.	   0.
 13000.	   0.
 13500.	   2.
 14000.	   3.
 14500.	   1.
 15000.	   0.
 15500.	   0.
 16000.	   0.
 16500.	   0.
 17000.	   0.
 17500.	   0.
 18000.	   0.
 18500.	   0.
 19000.	   0.
 19500.	   0.
 20000.	   0.
 20500.	   0.
 21000.	   0.
 21500.	   0.
 22000.	   0.
 22500.	   0.
 23000.	   0.
 23500.	   0.
 24000.	   0.
 24500.	   0.
 25000.	   0.
 25500.	   0.
 26000.	   0.
 26500.	   0.
 27000.	   0.
 27500.	   0.
 28000.	   0.
 28500.	   0.
 29000.	   0.
 29500.	   0.
 30000.	   0.
 30500.	   0.
 31000.	   0.
 31500.	   0.
 32000.	   0.
 32500.	   0.
 33000.	   0.
 33500.	   0.
 34000.	   0.
 34500.	   0.
 35000.	   2.
 35500.	   3.
 36000.	   5.
 36500.	   5.
 37000.	   3.
 37500.	   3.
 38000.	   2.
 38500.	   1.
 39000.	   5.
 39500.	   6.
 40000.	   6.
 40500.	  11.
 41000.	  26.
 41500.	  38.
 42000.	  52.
 42500.	  61.
 43000.	  63.
 43500.	  74.
 44000.	  91.
 44500.	 103.
 45000.	 117.
 45500.	 126.
 46000.	 139.
 46500.	 160.
 47000.	 177.
 47500.	 185.
 48000.	 190.
 48500.	 198.
 49000.	 210.
 49500.	 223.
 50000.	 235.
 50500.	 244.
 51000.	 245.
 51500.	 249.
 52000.	 253.
 52500.	 260.
 53000.	 268.
 53500.	 275.
 54000.	 283.
 54500.	 285. 
 55000.	 297.
 55500.	 301.
 56000.	 304.
 56500.	 307.
 57000.	 309.
 57500.	 311.
 58000.	 312.
 58500.	 311.
 59000.	 310.
 59500.	 308.
 60000.	 307.
 60500.	 305.
 61000.	 305.
 61500.	 305.
 62000.	 305.
 62500.	 308.
 63000.	 313.
 63500.	 325.
 64000.	 338.
 64500.	 350.
 65000.	 351.
 65500.	 345.
 66000.	 340.
 66500.	 325.
 67000.	 318.
 67500.	 326.
 68000.	 347.
 68500.	 362.
 69000.	 363.
 69500.	 346.
 70000.	 348.
 70500.	 364.
 71000.	 369.
 71500.	 382.
 72000.	 382.
 72500.	 370.
 73000.	 375.
 73500.	 390.
 74000.	 382.
 74500.	 347.
 75000.	 323.
 75500.	 338.
 76000.	 376.
 76500.	 413.
 77000.	 409.
 77500.	 384.
 78000.	 393.
 78500.	 442.
 79000.	 469.
 79500.	 460.
 80000.	 450.
 80500.	 444.
 81000.	 447.
 81500.	 461.
 82000.	 476.
 82500.	 455.
 83000.	 434.
 83500.	 431.
 84000.	 417.
 84500.	 432.
 85000.	 452.
 85500.	 457.
 86000.	 463.
 86500.	 464.
 87000.	 445.
 87500.	 416.
 88000.	 411.
 88500.	 437.
 89000.	 475.
 89500.	 497.
 90000.	 497.
 90500.	 508.
 91000.	 552.
 91500.	 593.
 92000.	 605.
 92500.	 615.
 93000.	 635.
 93500.	 651.
 94000.	 656.
 94500.	 671.
 95000.	 717.
 95500.	 761.
 96000.	 633.
 96500.	 481.
 97000.	 356.
 97500.	 233.
 98000.	 171.
 98500.	 131.
 99000.	 105.
 99500.	 118.
100000.	 183.
100500.	 260.
101000.	 229.
101500.	 162.
102000.	 104.
102500.	  61.
103000.	  71.
103500.	 103.
104000.	  95.
104500.	  61.
105000.	  63.
105500.	  62.
106000.	  79.
106500.	 107.
107000.	 104.
107500.	  87.
108000.	  70.
108500.	  59.
109000.	  52.
109500.	  49.
110000.	  50.
110500.	  40.
111000.	  35.
111500.	  36.
112000.	  28.
112500.	  27.
113000.	  27.
113500.	  18.
114000.	  10.
114500.	   5.
115000.	   5.
115500.	   3.
116000.	   3.
116500.	   2.
117000.	   3.
117500.	   2.
118000.	   1.
118500.	   1.
119000.	   0.
119500.	   0.
120000.	   0.
120500.	   0.
121000.	   0.
121500.	   0.
122000.	   0.
122500.	   0.
123000.	   0.
123500.	   0.
124000.	   0.
124500.	   0.
